コード,銘柄名,33業種コード,33業種区分,規模コード,規模区分
1301,極洋,50,水産・農林業,7,TOPIX Small 2
1332,日本水産,50,水産・農林業,4,TOPIX Mid400
1333,マルハニチロ,50,水産・農林業,4,TOPIX Mid400
1352,ホウスイ,6050,卸売業,7,TOPIX Small 2
1375,雪国まいたけ,50,水産・農林業,6,TOPIX Small 1
1376,カネコ種苗,50,水産・農林業,7,TOPIX Small 2
1377,サカタのタネ,50,水産・農林業,6,TOPIX Small 1
1379,ホクト,50,水産・農林業,6,TOPIX Small 1
1384,ホクリヨウ,50,水産・農林業,7,TOPIX Small 2
1413,ヒノキヤグループ,2050,建設業,7,TOPIX Small 2
1414,ショーボンドホールディングス,2050,建設業,4,TOPIX Mid400
1417,ミライト・ホールディングス,2050,建設業,4,TOPIX Mid400
1419,タマホーム,2050,建設業,6,TOPIX Small 1
1420,サンヨーホームズ,2050,建設業,7,TOPIX Small 2
1429,日本アクア,2050,建設業,7,TOPIX Small 2
1430,ファーストコーポレーション,2050,建設業,7,TOPIX Small 2
1433,ベステラ,2050,建設業,7,TOPIX Small 2
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,2050,建設業,7,TOPIX Small 2
1446,キャンディル,2050,建設業,7,TOPIX Small 2
1448,スペースバリューホールディングス,2050,建設業,7,TOPIX Small 2
1514,住石ホールディングス,1050,鉱業,7,TOPIX Small 2
1515,日鉄鉱業,1050,鉱業,7,TOPIX Small 2
1518,三井松島ホールディングス,1050,鉱業,7,TOPIX Small 2
1605,ＩＮＰＥＸ,1050,鉱業,4,TOPIX Mid400
1662,石油資源開発,1050,鉱業,6,TOPIX Small 1
1663,Ｋ＆Ｏエナジーグループ,1050,鉱業,7,TOPIX Small 2
1712,ダイセキ環境ソリューション,2050,建設業,7,TOPIX Small 2
1716,第一カッター興業,2050,建設業,7,TOPIX Small 2
1717,明豊ファシリティワークス,9050,サービス業,7,TOPIX Small 2
1719,安藤・間,2050,建設業,6,TOPIX Small 1
1720,東急建設,2050,建設業,6,TOPIX Small 1
1721,コムシスホールディングス,2050,建設業,4,TOPIX Mid400
1726,ビーアールホールディングス,2050,建設業,7,TOPIX Small 2
1762,高松コンストラクショングループ,2050,建設業,7,TOPIX Small 2
1766,東建コーポレーション,2050,建設業,6,TOPIX Small 1
1768,ソネック,2050,建設業,7,TOPIX Small 2
1780,ヤマウラ,2050,建設業,7,TOPIX Small 2
1786,オリエンタル白石,2050,建設業,6,TOPIX Small 1
1801,大成建設,2050,建設業,4,TOPIX Mid400
1802,大林組,2050,建設業,4,TOPIX Mid400
1803,清水建設,2050,建設業,4,TOPIX Mid400
1805,飛島建設,2050,建設業,7,TOPIX Small 2
1808,長谷工コーポレーション,2050,建設業,4,TOPIX Mid400
1810,松井建設,2050,建設業,7,TOPIX Small 2
1811,錢高組,2050,建設業,7,TOPIX Small 2
1812,鹿島建設,2050,建設業,4,TOPIX Mid400
1813,不動テトラ,2050,建設業,6,TOPIX Small 1
1814,大末建設,2050,建設業,7,TOPIX Small 2
1815,鉄建建設,2050,建設業,7,TOPIX Small 2
1820,西松建設,2050,建設業,4,TOPIX Mid400
1821,三井住友建設,2050,建設業,6,TOPIX Small 1
1822,大豊建設,2050,建設業,6,TOPIX Small 1
1826,佐田建設,2050,建設業,7,TOPIX Small 2
1827,ナカノフドー建設,2050,建設業,7,TOPIX Small 2
1833,奥村組,2050,建設業,6,TOPIX Small 1
1835,東鉄工業,2050,建設業,6,TOPIX Small 1
1847,イチケン,2050,建設業,7,TOPIX Small 2
1848,富士ピー・エス,2050,建設業,7,TOPIX Small 2
1852,淺沼組,2050,建設業,6,TOPIX Small 1
1860,戸田建設,2050,建設業,4,TOPIX Mid400
1861,熊谷組,2050,建設業,6,TOPIX Small 1
1866,北野建設,2050,建設業,7,TOPIX Small 2
1867,植木組,2050,建設業,7,TOPIX Small 2
1870,矢作建設工業,2050,建設業,7,TOPIX Small 2
1871,ピーエス三菱,2050,建設業,7,TOPIX Small 2
1873,日本ハウスホールディングス,2050,建設業,7,TOPIX Small 2
1878,大東建託,2050,建設業,4,TOPIX Mid400
1879,新日本建設,2050,建設業,7,TOPIX Small 2
1881,ＮＩＰＰＯ,2050,建設業,6,TOPIX Small 1
1882,東亜道路工業,2050,建設業,7,TOPIX Small 2
1884,日本道路,2050,建設業,7,TOPIX Small 2
1885,東亜建設工業,2050,建設業,6,TOPIX Small 1
1887,日本国土開発,2050,建設業,6,TOPIX Small 1
1888,若築建設,2050,建設業,7,TOPIX Small 2
1890,東洋建設,2050,建設業,6,TOPIX Small 1
1893,五洋建設,2050,建設業,4,TOPIX Mid400
1898,世紀東急工業,2050,建設業,7,TOPIX Small 2
1899,福田組,2050,建設業,7,TOPIX Small 2
1909,日本ドライケミカル,3600,機械,7,TOPIX Small 2
1911,住友林業,2050,建設業,4,TOPIX Mid400
1914,日本基礎技術,2050,建設業,7,TOPIX Small 2
1921,巴コーポレーション,2050,建設業,7,TOPIX Small 2
1925,大和ハウス工業,2050,建設業,2,TOPIX Large70
1926,ライト工業,2050,建設業,6,TOPIX Small 1
1928,積水ハウス,2050,建設業,2,TOPIX Large70
1929,日特建設,2050,建設業,7,TOPIX Small 2
1930,北陸電気工事,2050,建設業,7,TOPIX Small 2
1934,ユアテック,2050,建設業,7,TOPIX Small 2
1938,日本リーテック,2050,建設業,7,TOPIX Small 2
1939,四電工,2050,建設業,7,TOPIX Small 2
1941,中電工,2050,建設業,6,TOPIX Small 1
1942,関電工,2050,建設業,6,TOPIX Small 1
1944,きんでん,2050,建設業,4,TOPIX Mid400
1945,東京エネシス,2050,建設業,7,TOPIX Small 2
1946,トーエネック,2050,建設業,7,TOPIX Small 2
1949,住友電設,2050,建設業,7,TOPIX Small 2
1950,日本電設工業,2050,建設業,6,TOPIX Small 1
1951,エクシオグループ,2050,建設業,4,TOPIX Mid400
